date,Close
10/13/2020,917700
10/14/2020,12762800
10/15/2020,170498800
10/16/2020,26174400
10/17/2020,38752400
10/18/2020,105850400
10/19/2020,37600200
10/20/2020,73666000
10/21/2020,4468800
10/22/2020,44428400
10/23/2020,194593200
10/24/2020,286737000
10/25/2020,604800
10/26/2020,26622300
10/27/2020,116515900
10/28/2020,210302900
10/29/2020,130295000
10/30/2020,44793300
10/31/2020,38538000
11/1/2020,19351500
11/2/2020,56650600
11/3/2020,219541000
11/4/2020,131724500
11/5/2020,9780000
11/6/2020,87113100
11/7/2020,177490300
11/8/2020,76752500
11/9/2020,12645000
11/10/2020,58587700
11/11/2020,25176900
11/12/2020,22915000
11/13/2020,62653600
11/14/2020,63228400
11/15/2020,45822600
11/16/2020,158715900
11/17/2020,237411100
11/18/2020,275043900
11/19/2020,79538600
11/20/2020,83987100
11/21/2020,111152900
11/22/2020,21809400
11/23/2020,103309400
11/24/2020,123469500
11/25/2020,66238100
11/26/2020,3144200
11/27/2020,76990700
11/28/2020,83374200
11/29/2020,45854900
11/30/2020,41194700
12/1/2020,82141100
12/2/2020,85632400
12/3/2020,383877800
12/4/2020,123927700
12/5/2020,57401100
12/6/2020,69309000
12/7/2020,25685700
12/8/2020,70640400
12/9/2020,68182000
12/10/2020,210251800
12/11/2020,3351600
12/12/2020,9177000
12/13/2020,125243800
12/14/2020,51116300
12/15/2020,65169600
12/16/2020,63337100
12/17/2020,29698200
12/18/2020,201249300
12/19/2020,64788400
12/20/2020,16457700
12/21/2020,40278500
12/22/2020,32710600
12/23/2020,19189000
12/24/2020,97376400
12/25/2020,140333200
12/26/2020,77502600
12/27/2020,93157900
12/28/2020,84271500
12/29/2020,85139800
12/30/2020,167032400
12/31/2020,80215500
1/1/2021,127161900
1/2/2021,197201900
1/3/2021,405054600
1/4/2021,6795000
1/5/2021,675813900
1/6/2021,217329700
1/7/2021,12050900
1/8/2021,1516200
1/9/2021,6552900
1/10/2021,63704200
1/11/2021,244220700
1/12/2021,92307700
1/13/2021,29601300
1/14/2021,29524400
1/15/2021,51594000
1/16/2021,225588800
1/17/2021,303735800
1/18/2021,48442400
1/19/2021,180055200
1/20/2021,71982600
1/21/2021,109492900
1/22/2021,36390900
1/23/2021,126481300
1/24/2021,12600000
1/25/2021,114643000
1/26/2021,211044500
1/27/2021,42353700
1/28/2021,164539300
1/29/2021,12848800
1/30/2021,6357000
1/31/2021,136198400
2/1/2021,383382000
2/2/2021,95816900
2/3/2021,19320000
2/4/2021,45789400
2/5/2021,21684200
2/6/2021,207784200
2/7/2021,9256800
2/8/2021,189199900
2/9/2021,36820300
2/10/2021,23302000
2/11/2021,63120600
2/12/2021,4189500
2/13/2021,22495900
2/14/2021,37403800
2/15/2021,10225000
2/16/2021,31546200
2/17/2021,195949300
2/18/2021,197131700
2/19/2021,188552100
2/20/2021,206467000
2/21/2021,33066700
2/22/2021,45416500
2/23/2021,94720100
2/24/2021,26187000
2/25/2021,316739800
2/26/2021,425543600
2/27/2021,124865500
2/28/2021,20987400
3/1/2021,26500500
3/2/2021,12755100
3/3/2021,8099700
3/4/2021,155277600
3/5/2021,84327300
3/6/2021,334542500
3/7/2021,63969300
3/8/2021,336922500
3/9/2021,142499800
3/10/2021,24315900
3/11/2021,238133700
3/12/2021,201148300
3/13/2021,37842300
3/14/2021,156352000
3/15/2021,27395300
3/16/2021,38749500
3/17/2021,348617200
3/18/2021,50148300
3/19/2021,216310700
3/20/2021,84600500
3/21/2021,33020900
3/22/2021,120113300
3/23/2021,31467200
3/24/2021,13286700
3/25/2021,13365000
3/26/2021,56673400
3/27/2021,23696400
3/28/2021,38818500
3/29/2021,216485800
3/30/2021,7461300
3/31/2021,88788500
4/1/2021,51034000
4/2/2021,798142800
4/3/2021,6184500
4/4/2021,206824300
4/5/2021,113240700
4/6/2021,82140500
4/7/2021,124114700
4/8/2021,114076800
4/9/2021,191724200
4/10/2021,120773600
4/11/2021,69225100
4/12/2021,655836200
4/13/2021,129472300
4/14/2021,2622800
